Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
BN Boutique Nha Trang Beach,1175000,"Mon, Oct 6","Tue, Oct 7",8.0,4,Nha Trang,927,Very Good,https://www.booking.com/hotel/vn/bn-center.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1023180806_381797486_0_2_0_757378&highlighted_blocks=1023180806_381797486_0_2_0_757378&matching_block_id=1023180806_381797486_0_2_0_757378&sr_pri_blocks=1023180806_381797486_0_2_0_757378_44650000&from=searchresults
The Coastal Nest Nha Trang Bay,972000,"Mon, Oct 6","Tue, Oct 7",9.9,0,Nha Trang,46,Exceptional,https://www.booking.com/hotel/vn/the-costal-nest-nha-trang-bay.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1436317401_415127621_2_0_0&highlighted_blocks=1436317401_415127621_2_0_0&matching_block_id=1436317401_415127621_2_0_0&sr_pri_blocks=1436317401_415127621_2_0_0__48600000&from=searchresults
Moonlight Bay Panorama Condotel Ocean View,1100000,"Mon, Oct 6","Tue, Oct 7",8.1,4,Nha Trang,802,Very Good,https://www.booking.com/hotel/vn/moonlight-bay-panorama-ocean-view.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=876522414_358315049_2_2_0&highlighted_blocks=876522414_358315049_2_2_0&matching_block_id=876522414_358315049_2_2_0&sr_pri_blocks=876522414_358315049_2_2_0__55000000&from=searchresults
Pavillon Boutique Hotel & Apartment Nha Trang,1000000,"Mon, Oct 6","Tue, Oct 7",8.8,4,Nha Trang,928,Excellent,https://www.booking.com/hotel/vn/pavillon-boutique-amp-apartment-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1047499501_386106496_0_0_0&highlighted_blocks=1047499501_386106496_0_0_0&matching_block_id=1047499501_386106496_0_0_0&sr_pri_blocks=1047499501_386106496_0_0_0__39000000&from=searchresults
Kim Thanh Boutique Hotel Nha Trang,1150000,"Mon, Oct 6","Tue, Oct 7",8.3,4,Nha Trang,79,Very Good,https://www.booking.com/hotel/vn/kimthanh-boutique-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1368632808_416486453_0_2_0_1136209&highlighted_blocks=1368632808_416486453_0_2_0_1136209&matching_block_id=1368632808_416486453_0_2_0_1136209&sr_pri_blocks=1368632808_416486453_0_2_0_1136209_29900000&from=searchresults
Aaron Boutique Hotel,1300000,"Mon, Oct 6","Tue, Oct 7",9.2,4,Nha Trang,1406,Wonderful,https://www.booking.com/hotel/vn/aaron-boutique.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=992081104_397448103_2_2_0&highlighted_blocks=992081104_397448103_2_2_0&matching_block_id=992081104_397448103_2_2_0&sr_pri_blocks=992081104_397448103_2_2_0__70200000&from=searchresults
V Hotel Nha Trang,1935000,"Mon, Oct 6","Tue, Oct 7",8.5,4,Nha Trang,1105,Very Good,https://www.booking.com/hotel/vn/v-nha-trang-thanh-pho-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=309490609_412065069_0_0_0_1125101&highlighted_blocks=309490609_412065069_0_0_0_1125101&matching_block_id=309490609_412065069_0_0_0_1125101&sr_pri_blocks=309490609_412065069_0_0_0_1125101_57082500&from=searchresults
TND Hotel,1917721,"Mon, Oct 6","Tue, Oct 7",8.8,4,Nha Trang,847,Excellent,https://www.booking.com/hotel/vn/cicilia-hotels-amp-spa-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=197350704_415066609_2_41_0_1101777&highlighted_blocks=197350704_415066609_2_41_0_1101777&matching_block_id=197350704_415066609_2_41_0_1101777&sr_pri_blocks=197350704_415066609_2_41_0_1101777_67120200&from=searchresults
Montana Oceanfront Citypoint,1300000,"Mon, Oct 6","Tue, Oct 7",,0,Nha Trang,,N/A,https://www.booking.com/hotel/vn/montana-oceanfront-citypoint.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=1499340103_421711133_2_2_0&highlighted_blocks=1499340103_421711133_2_2_0&matching_block_id=1499340103_421711133_2_2_0&sr_pri_blocks=1499340103_421711133_2_2_0__84500000&from=searchresults
Panorama Nha Trang Inn,740741,"Mon, Oct 6","Tue, Oct 7",7.8,4,Nha Trang,223,Good,https://www.booking.com/hotel/vn/kim-panorama-nha-trang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKO-v7GBsACAdICJDc3MmRkOGViLWU3MzAtNDgwNS04MWFlLTJiMzYxNTZmOGFlYdgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3723998&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7ed955feb8500637&srepoch=1759493884&all_sr_blocks=789224504_383629227_2_2_0&highlighted_blocks=789224504_383629227_2_2_0&matching_block_id=789224504_383629227_2_2_0&sr_pri_blocks=789224504_383629227_2_2_0__74074100&from=searchresults
