hotel_Id,Hotel_name,Province,Price,Check_in_date,Check_out_date,Score,Stars,Address,Reviews,Overall,Link
11,KLY Hotel Vung Tau,Bà Rịa - Vũng Tàu,584100,10/13/2025,10/14/2025,8.4,4,Vung Tau,411,Very good,https://www.booking.com/hotel/vn/hai-duong-vung-tau1234.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=718099607_365730770_0_0_0_1172566&highlighted_blocks=718099607_365730770_0_0_0_1172566&matching_block_id=718099607_365730770_0_0_0_1172566&sr_pri_blocks=718099607_365730770_0_0_0_1172566_34461900&from=searchresults
12,The Song Boutique Apartment,Bà Rịa - Vũng Tàu,1150000,10/13/2025,10/14/2025,8.8,5,Vung Tau,403,Excellent,https://www.booking.com/hotel/vn/the-song-luxury-vung-tau-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1147172405_387646408_2_0_0_824191&highlighted_blocks=1147172405_387646408_2_0_0_824191&matching_block_id=1147172405_387646408_2_0_0_824191&sr_pri_blocks=1147172405_387646408_2_0_0_824191_28750000&from=searchresults
13,ZoZo House - Homestay Bai Sau - bien Vung Tau,Bà Rịa - Vũng Tàu,250000,10/13/2025,10/14/2025,7.1,0,Vung Tau,33,Good,https://www.booking.com/hotel/vn/khach-san-cho-thue-gio.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1098401422_382707762_2_42_0_614490&highlighted_blocks=1098401422_382707762_2_42_0_614490&matching_block_id=1098401422_382707762_2_42_0_614490&sr_pri_blocks=1098401422_382707762_2_42_0_614490_25000000&from=searchresults
14,Milan Homestay - Milanesa Hotel and Apartment,Bà Rịa - Vũng Tàu,420000,11/17/2025,11/18/2025,8.3,4,Vung Tau,690,Very good,https://www.booking.com/hotel/vn/vung-tau-melody-apartment-thanh-pho-vung-tau12.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-17&checkout=2025-11-18&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=494168518_344324338_2_0_0&highlighted_blocks=494168518_344324338_2_0_0&matching_block_id=494168518_344324338_2_0_0&sr_pri_blocks=494168518_344324338_2_0_0__21000000&from=searchresults
15,The Song Apartment 5 Stars Vung Tau - Căn Hộ Du Lịch 5 Sao Cạnh Biển - Ruby Homestay,Bà Rịa - Vũng Tàu,342973,10/27/2025,10/28/2025,7.4,4,Vung Tau,142,Good,https://www.booking.com/hotel/vn/the-song-apartment-vung-tau-vung-tau3.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-10-28&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=906952607_361766617_2_0_0_696447&highlighted_blocks=906952607_361766617_2_0_0_696447&matching_block_id=906952607_361766617_2_0_0_696447&sr_pri_blocks=906952607_361766617_2_0_0_696447_29495700&from=searchresults
16,Sunset Hotel & Apartment,Bà Rịa - Vũng Tàu,650000,10/13/2025,10/14/2025,8.5,3,Vung Tau,949,Very good,https://www.booking.com/hotel/vn/sunset-amp-apartment-thanh-pho-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=708629401_383525680_2_0_0_404178&highlighted_blocks=708629401_383525680_2_0_0_404178&matching_block_id=708629401_383525680_2_0_0_404178&sr_pri_blocks=708629401_383525680_2_0_0_404178_31200000&from=searchresults
17,MeoMeo Homestay - The Sóng Apartment,Bà Rịa - Vũng Tàu,624376,10/13/2025,10/14/2025,9.3,4,Vung Tau,91,Wonderful,https://www.booking.com/hotel/vn/meomeo-homestay-the-song-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=972817507_403473894_3_0_0_704228&highlighted_blocks=972817507_403473894_3_0_0_704228&matching_block_id=972817507_403473894_3_0_0_704228&sr_pri_blocks=972817507_403473894_3_0_0_704228_32467600&from=searchresults
18,The Land Hotel & Apartment,Bà Rịa - Vũng Tàu,1300000,10/13/2025,10/14/2025,9.2,3,Vung Tau,1128,Wonderful,https://www.booking.com/hotel/vn/theland-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=918700402_372363018_2_0_0&highlighted_blocks=918700402_372363018_2_0_0&matching_block_id=918700402_372363018_2_0_0&sr_pri_blocks=918700402_372363018_2_0_0__26000000&from=searchresults
19,Hoài Thu Hotel Vũng Tàu,Bà Rịa - Vũng Tàu,280000,10/20/2025,10/21/2025,7.7,3,Vung Tau,800,Good,https://www.booking.com/hotel/vn/hoai-thu-vung-tau.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-20&checkout=2025-10-21&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759494815&all_sr_blocks=1009803405_386855787_2_0_0&highlighted_blocks=1009803405_386855787_2_0_0&matching_block_id=1009803405_386855787_2_0_0&sr_pri_blocks=1009803405_386855787_2_0_0__19600000&from=searchresults
20,The Song Premium Apartment - Near Tam Thang Tower Vung Tau,Bà Rịa - Vũng Tàu,1250000,10/13/2025,10/14/2025,8.4,5,Vung Tau,221,Very good,https://www.booking.com/hotel/vn/the-song-apartment-your-home.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKDhP_GBsACAdICJGQyODY0ZWNjLTZmM2YtNDdlNS04YTg0LWRjMzQ0OTYzYTNmMtgCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=6233&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6e7b584748dc0389&srepoch=1759495153&all_sr_blocks=1134994502_388433175_2_0_0_1143916&highlighted_blocks=1134994502_388433175_2_0_0_1143916&matching_block_id=1134994502_388433175_2_0_0_1143916&sr_pri_blocks=1134994502_388433175_2_0_0_1143916_31250000&from=searchresults
