Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
Royal Family Hotel,1624500,"Mon, Oct 6","Tue, Oct 7",8.1,4,Danang,3030,Very Good,https://www.booking.com/hotel/vn/royal-family.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=123994606_393830426_2_0_0_1101747&highlighted_blocks=123994606_393830426_2_0_0_1101747&matching_block_id=123994606_393830426_2_0_0_1101747&sr_pri_blocks=123994606_393830426_2_0_0_1101747_29241000&from=searchresults
Merry Land Hotel Da Nang,1891500,"Mon, Oct 6","Tue, Oct 7",8.2,4,Danang,4676,Very Good,https://www.booking.com/hotel/vn/merry-land-da-nang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=234323417_125367304_0_2_0_893239&highlighted_blocks=234323417_125367304_0_2_0_893239&matching_block_id=234323417_125367304_0_2_0_893239&sr_pri_blocks=234323417_125367304_0_2_0_893239_32155500&from=searchresults
Awaken Da Nang Hotel,1418636,"Mon, Oct 6","Tue, Oct 7",8.8,5,Danang,1214,Excellent,https://www.booking.com/hotel/vn/awaken-da-nang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=1054045301_0_2_0_0&highlighted_blocks=1054045301_0_2_0_0&matching_block_id=1054045301_0_2_0_0&sr_pri_blocks=1054045301_0_2_0_0__141863596&from=searchresults
Halina Hotel and Apartment,522683,"Mon, Oct 27","Tue, Oct 28",9.2,4,Danang,2429,Wonderful,https://www.booking.com/hotel/vn/halina-and-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-27&checkout=2025-10-28&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=281755409_0_2_1_0&highlighted_blocks=281755409_0_2_1_0&matching_block_id=281755409_0_2_1_0&sr_pri_blocks=281755409_0_2_1_0__52268314&from=searchresults
Paris Deli Danang Beach Hotel,1130632,"Mon, Oct 13","Tue, Oct 14",8.9,4,Danang,2143,Excellent,https://www.booking.com/hotel/vn/paris-deli-danang-beach.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=261950702_0_2_1_0&highlighted_blocks=261950702_0_2_1_0&matching_block_id=261950702_0_2_1_0&sr_pri_blocks=261950702_0_2_1_0__113063227&from=searchresults
Stella Maris Beach Danang,1283214,"Mon, Oct 13","Tue, Oct 14",9.1,4,Danang,966,Wonderful,https://www.booking.com/hotel/vn/stella-maris-beach-danang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=471100811_0_2_1_0&highlighted_blocks=471100811_0_2_1_0&matching_block_id=471100811_0_2_1_0&sr_pri_blocks=471100811_0_2_1_0__128321351&from=searchresults
Nostalgia Boutique Hotel,1000000,"Mon, Oct 6","Tue, Oct 7",8.2,4,Danang,1640,Very Good,https://www.booking.com/hotel/vn/nostalgia-ds.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=431684302_394823253_2_0_0_1126763&highlighted_blocks=431684302_394823253_2_0_0_1126763&matching_block_id=431684302_394823253_2_0_0_1126763&sr_pri_blocks=431684302_394823253_2_0_0_1126763_26000000&from=searchresults
Hotel Soco,800000,"Mon, Dec 1","Tue, Dec 2",8.5,4,Danang,3350,Very Good,https://www.booking.com/hotel/vn/song-cong-da-nang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-12-01&checkout=2025-12-02&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=90649120_152534676_2_2_0_1169509&highlighted_blocks=90649120_152534676_2_2_0_1169509&matching_block_id=90649120_152534676_2_2_0_1169509&sr_pri_blocks=90649120_152534676_2_2_0_1169509_40000000&from=searchresults
ViAn Hotel And Spa Danang,2700000,"Mon, Oct 13","Tue, Oct 14",8.3,4,Danang,1729,Very Good,https://www.booking.com/hotel/vn/vian-and-spa-danang-da-nang.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=1120565401_392053724_2_1_0_1176033&highlighted_blocks=1120565401_392053724_2_1_0_1176033&matching_block_id=1120565401_392053724_2_1_0_1176033&sr_pri_blocks=1120565401_392053724_2_1_0_1176033_48600000&from=searchresults
Minh Boutique,1255495,"Mon, Oct 6","Tue, Oct 7",9.5,0,Danang,3120,Exceptional,https://www.booking.com/hotel/vn/minh-boutique.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3712125&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=661c3f6c2dfa02ce&srepoch=1759482646&all_sr_blocks=550652004_0_2_1_0&highlighted_blocks=550652004_0_2_1_0&matching_block_id=550652004_0_2_1_0&sr_pri_blocks=550652004_0_2_1_0__125549547&from=searchresults
