Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
SOL Center Hotel,1980000,"Mon, Oct 6","Tue, Oct 7",9.0,3,Hue,127,Wonderful,https://www.booking.com/hotel/vn/sol-center.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1438264403_417427571_0_0_0_1172561&highlighted_blocks=1438264403_417427571_0_0_0_1172561&matching_block_id=1438264403_417427571_0_0_0_1172561&sr_pri_blocks=1438264403_417427571_0_0_0_1172561_43560000&from=searchresults
Thanh Lich Royal Boutique,1296677,"Mon, Oct 6","Tue, Oct 7",9.1,4,Hue,2670,Wonderful,https://www.booking.com/hotel/vn/khach-san-thanh-lich.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=100613208_0_2_1_0&highlighted_blocks=100613208_0_2_1_0&matching_block_id=100613208_0_2_1_0&sr_pri_blocks=100613208_0_2_1_0__129667656&from=searchresults
KLy Apartment Hotel,900000,"Mon, Oct 6","Tue, Oct 7",8.1,3,Hue,1028,Very Good,https://www.booking.com/hotel/vn/meta-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=822401504_395605669_2_0_0_516094&highlighted_blocks=822401504_395605669_2_0_0_516094&matching_block_id=822401504_395605669_2_0_0_516094&sr_pri_blocks=822401504_395605669_2_0_0_516094_40500000&from=searchresults
Lavande Hue Homestay,585000,"Mon, Oct 13","Tue, Oct 14",9.5,3,Hue,220,Exceptional,https://www.booking.com/hotel/vn/lavande-hue-homestay.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1372814501_409456217_2_2_0&highlighted_blocks=1372814501_409456217_2_2_0&matching_block_id=1372814501_409456217_2_2_0&sr_pri_blocks=1372814501_409456217_2_2_0__43875000&from=searchresults
SEVEN HOMESTAY(HUE),295000,"Mon, Oct 6","Tue, Oct 7",9.1,0,Hue,369,Wonderful,https://www.booking.com/hotel/vn/seven-homestay-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1073934601_379942839_2_1_0&highlighted_blocks=1073934601_379942839_2_1_0&matching_block_id=1073934601_379942839_2_1_0&sr_pri_blocks=1073934601_379942839_2_1_0__29500000&from=searchresults
The ORCHID PREMIUM Hotel,691103,"Mon, Oct 6","Tue, Oct 7",9.3,3,Hue,300,Wonderful,https://www.booking.com/hotel/vn/the-orchid-premium.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1292192601_0_2_1_0&highlighted_blocks=1292192601_0_2_1_0&matching_block_id=1292192601_0_2_1_0&sr_pri_blocks=1292192601_0_2_1_0__69110327&from=searchresults
Jade Hotel,1400000,"Mon, Oct 6","Tue, Oct 7",8.9,3,Hue,882,Excellent,https://www.booking.com/hotel/vn/jade-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=135666301_196392526_2_1_0&highlighted_blocks=135666301_196392526_2_1_0&matching_block_id=135666301_196392526_2_1_0&sr_pri_blocks=135666301_196392526_2_1_0__61600000&from=searchresults
Hue Ecolodge,979371,"Mon, Oct 6","Tue, Oct 7",8.9,4,Hue,484,Excellent,https://www.booking.com/hotel/vn/hue-ecolodge.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__97937094&from=searchresults
KLY Boutique Hotel Hue,820000,"Mon, Oct 6","Tue, Oct 7",8.2,4,Hue,439,Very Good,https://www.booking.com/hotel/vn/boutique-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1190908006_391411630_2_0_0_411851&highlighted_blocks=1190908006_391411630_2_0_0_411851&matching_block_id=1190908006_391411630_2_0_0_411851&sr_pri_blocks=1190908006_391411630_2_0_0_411851_41000000&from=searchresults
Su'e homestay,886667,"Mon, Oct 6","Tue, Oct 7",9.5,3,Hue,87,Exceptional,https://www.booking.com/hotel/vn/su-homestay-thanh-pho-hue.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3715887&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7ee339dd707602b5&srepoch=1759479419&all_sr_blocks=1334695501_405953430_2_0_0&highlighted_blocks=1334695501_405953430_2_0_0&matching_block_id=1334695501_405953430_2_0_0&sr_pri_blocks=1334695501_405953430_2_0_0__44333400&from=searchresults
