Stay,Price (2 adults/night),Check_in,Check_out,Score,Stars,Address,Reviews,Overall,Link
LION 16 Hotel,"VND 490,000","Mon, Oct 6","Tue, Oct 7",Scored 9.3,0,Can Tho,56 reviews,Wonderful,https://www.booking.com/hotel/vn/lion-16.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=1378067001_409928190_2_0_0&highlighted_blocks=1378067001_409928190_2_0_0&matching_block_id=1378067001_409928190_2_0_0&sr_pri_blocks=1378067001_409928190_2_0_0__49000000&from=searchresults
KP Hotel,"VND 645,698","Mon, Oct 6","Tue, Oct 7",Scored 8.2,0,Can Tho,"1,041 reviews",Very Good,https://www.booking.com/hotel/vn/kq.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=364887101_0_2_1_0&highlighted_blocks=364887101_0_2_1_0&matching_block_id=364887101_0_2_1_0&sr_pri_blocks=364887101_0_2_1_0__64569847&from=searchresults
VẠN LỘC HOTEL,"VND 247,879","Mon, Oct 6","Tue, Oct 7",Scored 8.7,3,Can Tho,823 reviews,Excellent,https://www.booking.com/hotel/vn/van-loc.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=312248007_0_2_0_0&highlighted_blocks=312248007_0_2_0_0&matching_block_id=312248007_0_2_0_0&sr_pri_blocks=312248007_0_2_0_0__24787852&from=searchresults
Con Khuong Resort Can Tho,"VND 1,006,033","Mon, Oct 13","Tue, Oct 14",Scored 8.7,4,Can Tho,507 reviews,Excellent,https://www.booking.com/hotel/vn/khu-nghi-duong-con-khuong-can-tho-con-khuong-resort.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-13&checkout=2025-10-14&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=517359103_0_2_1_0&highlighted_blocks=517359103_0_2_1_0&matching_block_id=517359103_0_2_1_0&sr_pri_blocks=517359103_0_2_1_0__100603306&from=searchresults
Boutique Lodge Can Tho Homestay,"VND 990,000","Mon, Oct 6","Tue, Oct 7",Scored 9.7,0,Can Tho,979 reviews,Exceptional,https://www.booking.com/hotel/vn/boutique-lodge-can-tho-homstay.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=303390601_408243890_2_41_0&highlighted_blocks=303390601_408243890_2_41_0&matching_block_id=303390601_408243890_2_41_0&sr_pri_blocks=303390601_408243890_2_41_0__99000000&from=searchresults
TTC Hotel Can Tho,"VND 1,042,990","Mon, Oct 6","Tue, Oct 7",Scored 8.5,5,Can Tho,784 reviews,Very Good,https://www.booking.com/hotel/vn/golf-can-tho.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=55062823_0_2_1_0&highlighted_blocks=55062823_0_2_1_0&matching_block_id=55062823_0_2_1_0&sr_pri_blocks=55062823_0_2_1_0__104299045&from=searchresults
Adora Hostel,"VND 394,265","Mon, Oct 6","Tue, Oct 7",Scored 9.8,3,Can Tho,37 reviews,Exceptional,https://www.booking.com/hotel/vn/cai-rang-floating-market-tour-can-tho-centre-tour-from-adora.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=1107413602_403293230_0_0_0&highlighted_blocks=1107413602_403293230_0_0_0&matching_block_id=1107413602_403293230_0_0_0&sr_pri_blocks=1107413602_403293230_0_0_0__24444400&from=searchresults
Ninh Kieu Riverside Hotel,"VND 1,690,000","Mon, Oct 6","Tue, Oct 7",Scored 7.1,4,Can Tho,68 reviews,Good,https://www.booking.com/hotel/vn/ninh-kieu.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=189406420_195245069_2_1_0&highlighted_blocks=189406420_195245069_2_1_0&matching_block_id=189406420_195245069_2_1_0&sr_pri_blocks=189406420_195245069_2_1_0__109850000&from=searchresults
Hoang Son Hotel - Can Tho,"VND 1,170,000","Mon, Oct 6","Tue, Oct 7",Scored 8.1,3,Can Tho,275 reviews,Very Good,https://www.booking.com/hotel/vn/khach-san-hoang-son-ninh-kieu.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=520514418_389527355_2_0_0&highlighted_blocks=520514418_389527355_2_0_0&matching_block_id=520514418_389527355_2_0_0&sr_pri_blocks=520514418_389527355_2_0_0__71370000&from=searchresults
Mekong Rose Hotel,"VND 246,031","Mon, Oct 6","Tue, Oct 7",Scored 8.4,2,Can Tho,488 reviews,Very Good,https://www.booking.com/hotel/vn/mekong-rose-ninh-kieu1.html?label=gen173nr-10CAEoggI46AdIM1gEaPQBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK78OPGBsACAdICJDg2NTdiNzM2LTFhYTYtNDAzNC1hZmUyLWRiYzA1ZDFiZDJlN9gCAeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-06&checkout=2025-10-07&dest_id=-3709910&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4bff3c86c15b0305&srepoch=1759480675&all_sr_blocks=634205808_0_2_0_0&highlighted_blocks=634205808_0_2_0_0&matching_block_id=634205808_0_2_0_0&sr_pri_blocks=634205808_0_2_0_0__24603065&from=searchresults
